"","SEQN","Schooling"
"714",714,4
"715",715,NA
"716",716,1
"717",717,NA
"718",718,NA
"719",719,1
"720",720,NA
"721",721,NA
"722",722,NA
"723",723,3
"724",724,NA
"725",725,NA
"726",726,NA
"727",727,4
"728",728,3
"729",729,1
"730",730,NA
"731",731,1
"732",732,NA
"733",733,NA
"734",734,1
"735",735,NA
"736",736,3
"737",737,5
"738",738,NA
"739",739,NA
"740",740,NA
"741",741,2
"742",742,NA
"743",743,NA
"744",744,NA
"745",745,NA
"746",746,NA
"747",747,5
"748",748,NA
"749",749,NA
"750",750,NA
"751",751,NA
"752",752,NA
"753",753,2
"754",754,1
"755",755,NA
"756",756,NA
"757",757,3
"758",758,NA
"759",759,NA
"760",760,NA
"761",761,3
"762",762,NA
"763",763,NA
"764",764,3
"765",765,4
"766",766,NA
"767",767,NA
"768",768,3
"769",769,NA
"770",770,2
"771",771,NA
"772",772,NA
"773",773,NA
"774",774,NA
"775",775,NA
"776",776,5
"777",777,NA
"778",778,4
"779",779,5
"780",780,NA
"781",781,3
"782",782,1
"783",783,3
"784",784,2
"785",785,5
"786",786,NA
"787",787,2
"788",788,5
"789",789,3
"790",790,NA
"791",791,NA
"792",792,1
"793",793,3
"794",794,NA
"795",795,NA
"796",796,NA
"797",797,NA
"798",798,NA
"799",799,9
"800",800,4
"801",801,NA
"802",802,NA
"803",803,1
"804",804,5
"805",805,NA
"806",806,NA
"807",807,3
"808",808,NA
"809",809,5
"810",810,NA
"811",811,3
"812",812,4
"813",813,1
"814",814,NA
"815",815,1
"816",816,1
"817",817,5
"818",818,2
"819",819,4
"820",820,NA
"821",821,2
"822",822,3
"823",823,2
"824",824,4
"825",825,NA
"826",826,NA
"827",827,NA
"828",828,2
"829",829,NA
"830",830,NA
"831",831,5
"832",832,2
"833",833,NA
"834",834,NA
"835",835,3
"836",836,5
"837",837,NA
"838",838,NA
"839",839,NA
"840",840,3
"841",841,4
"842",842,NA
"843",843,NA
"844",844,1
"845",845,NA
"846",846,NA
"847",847,2
"848",848,4
"849",849,NA
"850",850,5
"851",851,NA
"852",852,3
"853",853,NA
"854",854,NA
"855",855,4
"856",856,NA
"857",857,NA
"858",858,2
"859",859,NA
"860",860,NA
"861",861,3
"862",862,2
"863",863,2
"864",864,5
"865",865,1
"866",866,NA
"867",867,3
"868",868,NA
"869",869,NA
"870",870,NA
"871",871,1
"872",872,NA
"873",873,NA
"874",874,NA
"875",875,1
"876",876,1
"877",877,NA
"878",878,2
"879",879,5
"880",880,3
"881",881,3
"882",882,NA
"883",883,2
"884",884,4
"885",885,3
"886",886,4
"887",887,1
"888",888,NA
"889",889,1
"890",890,NA
"891",891,NA
"892",892,4
"893",893,NA
"894",894,NA
"895",895,NA
"896",896,1
"897",897,1
"898",898,4
"899",899,NA
"900",900,NA
"901",901,NA
"902",902,NA
"903",903,NA
"904",904,NA
"905",905,4
"906",906,4
"907",907,3
"908",908,3
"909",909,2
"910",910,NA
"911",911,NA
"912",912,NA
"913",913,NA
"914",914,2
"915",915,NA
"916",916,NA
"917",917,5
"918",918,NA
"919",919,NA
"920",920,3
"921",921,4
"922",922,NA
"923",923,NA
"924",924,4
"925",925,4
"926",926,NA
"927",927,NA
"928",928,3
"929",929,3
"930",930,NA
"931",931,NA
"932",932,NA
"933",933,5
"934",934,NA
"935",935,NA
"936",936,5
"937",937,NA
"938",938,NA
"939",939,NA
"940",940,NA
"941",941,1
"942",942,NA
"943",943,4
"944",944,2
"945",945,NA
"946",946,NA
"947",947,NA
"948",948,NA
"949",949,5
"950",950,5
"951",951,NA
"952",952,NA
"953",953,NA
"954",954,4
"955",955,5
"956",956,2
"957",957,NA
"958",958,5
"959",959,3
"960",960,1
"961",961,4
"962",962,3
"963",963,2
"964",964,1
"965",965,1
"966",966,5
"967",967,NA
"968",968,2
"969",969,3
"970",970,NA
"971",971,3
"972",972,1
"973",973,NA
"974",974,3
"975",975,NA
"976",976,4
"977",977,5
"978",978,2
"979",979,NA
"980",980,1
"981",981,3
"982",982,5
"983",983,NA
"984",984,3
"985",985,NA
"986",986,3
"987",987,1
"988",988,5
"989",989,NA
"990",990,3
"991",991,5
"992",992,NA
"993",993,4
"994",994,3
"995",995,NA
"996",996,2
"997",997,NA
"998",998,4
"999",999,1
"1000",1000,4
"1001",1001,1
"1002",1002,3
"1003",1003,5
"1004",1004,NA
"1005",1005,NA
"1006",1006,NA
"1007",1007,NA
"1008",1008,NA
"1009",1009,5
"1010",1010,3
"1011",1011,3
"1012",1012,NA
"1013",1013,2
"1014",1014,NA
"1015",1015,NA
"1016",1016,NA
"1017",1017,NA
"1018",1018,3
"1019",1019,NA
"1020",1020,NA
"1021",1021,1
"1022",1022,1
"1023",1023,NA
"1024",1024,3
"1025",1025,3
"1026",1026,3
"1027",1027,NA
"1028",1028,1
"1029",1029,4
"1030",1030,2
"1031",1031,1
"1032",1032,3
"1033",1033,2
"1034",1034,4
"1035",1035,5
"1036",1036,NA
"1037",1037,NA
"1038",1038,1
"1039",1039,NA
"1040",1040,NA
"1041",1041,3
"1042",1042,NA
"1043",1043,3
"1044",1044,2
"1045",1045,3
"1046",1046,3
"1047",1047,4
"1048",1048,3
"1049",1049,NA
"1050",1050,1
"1051",1051,NA
"1052",1052,1
"1053",1053,NA
"1054",1054,1
"1055",1055,NA
"1056",1056,3
"1057",1057,NA
"1058",1058,1
"1059",1059,1
"1060",1060,NA
"1061",1061,3
"1062",1062,NA
"1063",1063,1
"1064",1064,NA
"1065",1065,1
"1066",1066,NA
"1067",1067,2
"1068",1068,2
"1069",1069,NA
"1070",1070,NA
"1071",1071,3
"1072",1072,NA
"1073",1073,NA
"1074",1074,NA
"1075",1075,NA
"1076",1076,NA
"1077",1077,1
"1078",1078,NA
"1079",1079,NA
"1080",1080,NA
"1081",1081,NA
"1082",1082,NA
"1083",1083,NA
"1084",1084,NA
"1085",1085,1
"1086",1086,NA
"1087",1087,NA
"1088",1088,5
"1089",1089,NA
"1090",1090,2
"1091",1091,NA
"1092",1092,1
"1093",1093,2
"1094",1094,NA
"1095",1095,1
"1096",1096,1
"1097",1097,NA
"1098",1098,4
"1099",1099,NA
"1100",1100,NA
"1101",1101,1
"1102",1102,2
"1103",1103,NA
"1104",1104,4
"1105",1105,NA
"1106",1106,2
"1107",1107,NA
"1108",1108,NA
"1109",1109,NA
"1110",1110,4
"1111",1111,NA
"1112",1112,2
"1113",1113,NA
"1114",1114,NA
"1115",1115,NA
"1116",1116,5
"1117",1117,2
"1118",1118,5
"1119",1119,2
"1120",1120,1
"1121",1121,NA
"1122",1122,3
"1123",1123,NA
"1124",1124,NA
"1125",1125,4
"1126",1126,NA
"1127",1127,5
"1128",1128,4
"1129",1129,NA
"1130",1130,4
"1131",1131,5
"1132",1132,2
"1133",1133,NA
"1134",1134,NA
"1135",1135,1
"1136",1136,NA
"1137",1137,3
"1138",1138,NA
"1139",1139,3
"1140",1140,NA
"1141",1141,2
"1142",1142,NA
"1143",1143,NA
"1144",1144,2
"1145",1145,NA
"1146",1146,NA
"1147",1147,NA
"1148",1148,1
"1149",1149,NA
"1150",1150,2
"1151",1151,NA
"1152",1152,NA
"1153",1153,NA
"1154",1154,5
"1155",1155,2
"1156",1156,NA
"1157",1157,NA
"1158",1158,5
"1159",1159,NA
"1160",1160,NA
"1161",1161,3
"1162",1162,NA
"1163",1163,1
"1164",1164,2
"1165",1165,NA
"1166",1166,1
"1167",1167,2
"1168",1168,NA
"1169",1169,NA
"1170",1170,1
"1171",1171,4
"1172",1172,NA
"1173",1173,2
"1174",1174,NA
"1175",1175,NA
"1176",1176,NA
"1177",1177,3
"1178",1178,3
"1179",1179,3
"1180",1180,NA
"1181",1181,NA
"1182",1182,4
"1183",1183,3
"1184",1184,3
"1185",1185,NA
"1186",1186,NA
"1187",1187,NA
"1188",1188,NA
"1189",1189,1
"1190",1190,4
"1191",1191,NA
"1192",1192,3
"1193",1193,NA
"1194",1194,4
"1195",1195,5
"1196",1196,4
"1197",1197,1
"1198",1198,NA
"1199",1199,NA
"1200",1200,NA
"1201",1201,2
"1202",1202,3
"1203",1203,4
"1204",1204,NA
"1205",1205,NA
"1206",1206,NA
"1207",1207,3
"1208",1208,NA
"1209",1209,NA
"1210",1210,5
"1211",1211,NA
"1212",1212,3
"1213",1213,NA
"1214",1214,NA
"1215",1215,NA
"1216",1216,NA
"1217",1217,NA
"1218",1218,NA
"1219",1219,2
"1220",1220,1
"1221",1221,4
"1222",1222,NA
"1223",1223,NA
"1224",1224,NA
"1225",1225,NA
"1226",1226,5
"1227",1227,4
"1228",1228,NA
"1229",1229,2
"1230",1230,NA
"1231",1231,5
"1232",1232,2
"1233",1233,NA
